case_no,title,date,case_link,division,ponente,dispositive position,votes,Gesmundo,Leonen,Caguioa,Hernando,Lazaro-Javier,M. Lopez,Inting,Zalameda,Gaerlan,Rosario,J. Lopez,Dimaampao,Marquez,Kho,Singh
G.R. No. 249410,"MARIA TERESA DINO BASA-EGAMI, PETITIONER, VS. DR. LISA GRACE BERSALES, IN HER CAPACITY AS THE ADMINISTRATOR AND CIVIL REGISTRAR GENERAL, HIROSHI EGAMI, THE LOCAL CIVIL REGISTRAR OF SAN MIGUEL, BULACAN, REPUBLIC OF THE PHILIPPINES, AND THE FORMER FOURTH DIVISION, COURT OF APPEALS, RESPONDENTS.",7/6/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68431,FIRST DIVISION,ZALAMEDA,"WHEREFORE, the Petition for Certiorari under Rule 65 is GRANTED. The Decision dated 25 March 2019 and Resolution dated 22 July 2019 of the Court of Appeals in CA G.R. CV No. 109890 are REVERSED AND SET ASIDE. The case is REMANDED to Branch 86, Regional Trial Court of Quezon City, for further proceedings and reception of evidence on the pertinent Japanese law on divorce and the document proving Hiroshi Egami is now recapacitated to marry.SO ORDERED. Gesmundo, C.J. (Chairperson), Hernando, Rosario, and Marquez, JJ., concur."," Gesmundo, C.J. (Chairperson), Hernando, Rosario, and Marquez, JJ., concur.",C,,,C,,,,P,,C,,,C,,
G.R. No. 233679,"ADSTRATWORLD HOLDINGS, INC., JUDITO B. CALLAO AND JUDITO DEI R. CALLAO, PETITIONERS, VS. CHONA A. MAGALLONES AND PAULINE JOY M. LUCINO, RESPONDENTS.",7/6/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68434,THIRD DIVISION,INTING,"WHEREFORE, the petition is DENIED. The Decision dated November 29, 2016 and the Resolution dated July 10, 2017 of the Court of Appeals in CA-G.R. SP No. 140702 are AFFIRMED with the following MODIFICATIONS:(1) the grant of premium pay for holidays and for rest days, overtime pay, and night shift differential pay is DELETED; and(2) Petitioner Adstratworld Holdings Inc. is ordered to pay each respondent, Chona A. Magallones and Pauline Joy M. Lucino, moral and exemplary damages in the respective amounts of P50,000.00 and attorney's fees equivalent to 10% of the total monetary awards. All the monetary awards shall earn interest at the rate of six percent (6%) per annum from the finality of this Decision until paid in full.SO ORDERED. Caguioa (Chairperson), Gaerlan, Dimaampao, and Singh, JJ., concur."," Caguioa (Chairperson), Gaerlan, Dimaampao, and Singh, JJ., concur.",,,C,,,,P,,C,,,C,,,C
G.R. No. 240184,"MUSAHAMAT WORKERS LABOR UNION-1-ALU, PETITIONER, VS. MUSAHAMAT FARMS, INC. FARM 1, RESPONDENT.",7/6/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68437,THIRD DIVISION,CAGUIOA,"WHEREFORE, the Petition for Review on Certiorari is PARTIALLY GRANTED. The Decision dated January 22, 2018 of the Court of Appeals, Twenty-First Division and its Resolution dated May 31, 2018 in CA-G.R. SP No. O7812-MIN are REVERSED and SET ASIDE insofar as they hold that Ernesto Suril, Jr., Elvin Suril, Jhonel Suril, Nanding Abana, and Nonito Cabillon were validly dismissed. The Decision of the Voluntary Arbitrator dated September 28, 2016 is REINSTATED to the extent that respondent is ORDERED to PAY Ernesto Suril, Jr., Elvin Suril, Jhonel Suril, Nanding Abana, and Nonito Cabillon:FULL BACKWAGES, inclusive of allowances and other benefits or their monetary equivalent, computed from April 14, 2016, or from the time that their compensation was withheld from them, until finality of this judgment; andSEPARATION PAY in lieu of reinstatement at one-month salary for every year of service, with a fraction of at least six (6) months considered as one whole year computed from the date of hiring until finality of this judgment.The monetary award shall earn legal interest of six percent (6%) per annum from the date of finality of this Decision until full satisfaction of the award.SO ORDERED. Inting, Gaerlan, Dimaampao, and Singh, JJ., concur."," Inting, Gaerlan, Dimaampao, and Singh, JJ., concur.",,,P,,,,C,,C,,,C,,,C
G.R. No. 242866,"ALBERT K.S. TAN II, PETITIONER, VS. PEOPLE OF THE PHILIPPINES, RESPONDENT.",7/6/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68438,THIRD DIVISION,CAGUIOA,"WHEREFORE, premises considered, the Petition is DENIED. The Decision dated March 23, 2018 and the Resolution dated October 23, 2018 of the Court of Appeals in CA-G.R. SP No. 140576 are hereby AFFIRMED.SO ORDERED. Inting, Gaerlan, Dimaampao, and Singh, JJ., concur."," Inting, Gaerlan, Dimaampao, and Singh, JJ., concur.",,,P,,,,C,,C,,,C,,,C
G.R. No. 242892,"APOLINARIO T. CAMSOL, ANECITA C. SUYAT, MARCELINO ENDI, AND ASANO E. ABAN, PETITIONERS, VS. SEVENTH DIVISION OF THE SANDIGANBAYAN, HEADED BY ITS CHAIRPERSON, ASSOCIATE JUSTICE MA. THERESA DOLORES C. GOMEZ-ESTOESTA, AND DIVISION MEMBER ‚Äì ASSOCIATE JUSTICE GEORGINA D. HIDALGO AND ASSOCIATE JUSTICE ZALDY V. TRESPESES, RESPONDENTS.",7/6/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68439,FIRST DIVISION,ZALAMEDA,"WHEREFORE, the Petition is GRANTED. The Minute Resolutions dated 17 September 2018 and 11 October 2018 of the Sandiganbayan Seventh Division in Crim. Case No. SB-18-CRIM-0293 are ANNULED and SET ASIDE. The Sandiganbayan is likewise ordered to DISMISS Criminal Case No. SB-18-CRM-0293.SO ORDERED. Gesmundo, C.J., Hernando, Rosario, and Marquez, JJ., concur."," Gesmundo, C.J., Hernando, Rosario, and Marquez, JJ., concur.",C,,,C,,,,P,,C,,,C,,
G.R. No. 243399,"C.F. SHARP CREW MANAGEMENT INC. AND/OR REEDEREI CLAUS-PETER OFFEN (GMBH & CO.), PETITIONERS, VS. ROBERTO B. DAGANATO RESPONDENT.",7/6/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68440,FIRST DIVISION,HERNANDO,"WHEREFORE, the Petition for Review on Certiorari is PARTIALLY GRANTED. The January 25, 2018 Decision and the November 21, 2018 Resolution of the Court of Appeals in CA-G.R. SP No. 147111 are AFFIRMED with MODIFICATION in that the award of USD 121,176.00 is REDUCED to USD 95,949.00, while the award of attorney's fees equivalent to ten percent (10%) of the award is REINSTATED. A legal interest at the rate of six percent (6%) per annum is also imposed on the monetary award for permanent and total disability benefits due Roberto B. Daganato, to be reckoned from the finality of this Decision until full satisfaction thereof.SO ORDERED. Gesmundo, C.J. (Chairperson), Caguioa,* Rosario, and Marquez, JJ., concur.* Designated additional Member per March 7, 2022 Raffle vice J. Zalameda who recused due to prior action in the Court of Appeals."," Gesmundo, C.J. (Chairperson), Caguioa,* Rosario, and Marquez, JJ., concur.* Designated additional Member per March 7, 2022 Raffle vice J. Zalameda who recused due to prior action in the Court of Appeals.",C,,C,P,,,,,,C,,,C,,
G.R. No. 212670,"MOVIE AND TELEVISION REVIEW AND CLASSIFICATION BOARD (MTRCB), PETITIONER, VS. ABC DEVELOPMENT CORP., DOING BUSINESS UNDER THE NAME AND STYLE ASSOCIATED BROADCASTING COMPANY (TV5), RESPONDENT.",7/6/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68442,FIRST DIVISION,HERNANDO,"WHEREFORE, the Court DENIES the Petition for Review on Certiorari and AFFIRMS the March 7, 2013 Decision and May 15, 2014 Resolution of the Court of Appeals in CA-G.R. SP No. 125005.SO ORDERED. Gesmundo, C.J. (Chairperson), Zalameda, Lopez,* and Marquez, JJ., concur.* Designated additional Member per April 4, 2022 Raffle vice J. Rosario who recused due to prior action in the Court of Appeals."," Gesmundo, C.J. (Chairperson), Zalameda, Lopez,* and Marquez, JJ., concur.* Designated additional Member per April 4, 2022 Raffle vice J. Rosario who recused due to prior action in the Court of Appeals.",C,,,P,,,,C,,,C,,C,,
G.R. No. 244422,"HEIRS OF ANIOLINA VDA. DE SEBUA, NAMELY: IMMACULADA S. MAGSUMBOL, GLENN H. SEBUA, JOSEPH H. SEBUA, MARY ANN S. VILLANUEVA, MA. NEMA H. SEBUA AND EXAN S. VIBAT, PETITIONERS, VS. FELICIANA BRAVANTE, RESPONDENT.",7/6/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68455,FIRST DIVISION,ZALAMEDA,"WHEREFORE, the present petition is GRANTED. The Decision of the Court of Appeals ‚Äì Cagayan de Oro City in CA-G.R. CV No. 03974-MIN is REVERSED and SET ASIDE. The Decision of Branch 26, Regional Trial Court of Surallah, South Cotabato in Civil Case No. 989 is REINSTATED and AFFIRMED with MODIFICATION that petitioners Heirs of Aniolina H. Sebua, are liable for interest at the rate of 12% per annum computed from 06 August 2009 until 30 June 2013. From 1 July 2013 until finality of this Decision, the interest rate of 6% per annum shall be imposed to the unpaid obligation. In case of default on the part of petitioners to settle their obligations within ninety (90) days from finality of this Decision, the property shall be sold at public auction and the proceeds applied to the mortgage debt.SO ORDERED. Gesmundo, C.J. (Chairperson), Hernando, Rosario, and Marquez, JJ., concur."," Gesmundo, C.J. (Chairperson), Hernando, Rosario, and Marquez, JJ., concur.",C,,,C,,,,P,,C,,,C,,
G.R. No. 235086,"DEPARTMENT OF AGRARIAN REFORM, PETITIONER, VS. JUSTINIANA ITLIONG, DAVID C. DAKANAY AND THE OTHER LEGITIMATE CHILDREN OF THE LATE LOURDES CADIZ DAKANAY RESPONDENTS.",7/6/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68456,FIRST DIVISION,ZALAMEDA,"WHEREFORE, the Petition is GRANTED. The assailed Decision dated 22 May 2017 and the Resolution dated 11 September 2017 of the Court of Appeals in CA-G.R. SP No. 140066 are REVERSED and SET ASIDE. The Order dated 08 August 2012 of the Secretary of the Department of Agrarian Reform is REINSTATED with MODIFICATION that herein respondents David C. Dakanay and other legitimate children of Lourdes C. Dakanay are entitled to the proceeds of the subject landholding, but they may no longer exercise the right of retention under Section 6 of Republic Act No. 6657.SO ORDERED. Gesmundo, C.J. (Chairperson), Hernando, Rosario, and Marquez, JJ., concur."," Gesmundo, C.J. (Chairperson), Hernando, Rosario, and Marquez, JJ., concur.",C,,,C,,,,P,,C,,,C,,
G.R. No. 254412,"PEOPLE OF THE PHILIPPINES, PLAINTIFF-APPELLEE, VS. JOEL FANDIALAN Y BERNALDEZ, ACCUSED-APPELLANT.",7/6/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68473,THIRD DIVISION,INTING,"Accordingly, accused-appellant Joel Fandialan y Bernaldez is ACQUITTED of violation of Sections 5 and 11, Article II of Republic Act No. 9165, as amended, for failure of the prosecution to prove his guilt beyond reasonable doubt, and is ordered immediately RELEASED from detention, unless he is confined for any other lawful cause. Let a copy of this Decision be furnished to the Director General of the Bureau of Corrections, Muntinlupa City for immediate implementation. Furthermore, the Director General of the Bureau of Corrections is ORDERED to report to this Court the action he/she has taken within five (5) days from receipt of this Decision. Let entry of judgment be issued immediately. SO ORDERED. Caguioa, (Chairperson), Gaerlan, Dimaampao, and Singh, JJ., concur. "," Caguioa, (Chairperson), Gaerlan, Dimaampao, and Singh, JJ., concur. ",,,C,,,,P,,C,,,C,,,C
G.R. No. 250495,"LEO ABUYO Y SAGRIT, PETITIONER, VS. PEOPLE OF THE PHILIPPINES, RESPONDENT.",7/6/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68475,SECOND DIVISION,"LOPEZ, M., J.:","ACCORDINGLY, the petition is GRANTED. The Decision dated June 28, 2019 and the Resolution dated November 12, 2019 of the Court of Appeals in CA-G.R. CR No. 41325 are REVERSED. Petitioner Leo Abuyo y Sagrit is ACQUITTED of the crime of Homicide and ORDERED to be RELEASED IMMEDIATELY from detention, unless he is being lawfully held for another cause. Let entry of judgment be issued immediately. Let a copy of this Decision be furnished to the Director of the Bureau of Corrections, Muntinlupa City for immediate implementation. The Director is directed to report to this Court the action taken within five (5) days from receipt of this Decision. SO ORDERED. Leonen, SAJ. (Chairperson), Lazaro-Javier, J. Lopez, and Kho, Jr., JJ., concur. "," Leonen, SAJ. (Chairperson), Lazaro-Javier, J. Lopez, and Kho, Jr., JJ., concur. ",,C,,,C,P,,,,,C,,,C,
G.R. No. 253825,"GAISANO SUPERSTORE, INC. (VALENCIA CITY BRANCH), PETITIONER, VS. SPOUSES FRANK RHEDEY AND JOCELYN RHEDEY, RESPONDENT.",7/6/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68485,THIRD DIVISION,INTING,"WHEREFORE, the Petition for Review on Certiorari is DENIED. The Decision dated July 26, 2019 and the Resolution dated July 6, 2020 of the Court of Appeals, Cagayan de Oro City, in CA-G.R. CV No. 04759-MIN are hereby AFFIRMED with MODIFICATION. Petitioner Gaisano Superstore, Inc. (Valencia City Branch) is ordered to pay respondents Spouses Frank Rhedey and Jocelyn Rhedey P50,000.00 as temperate damages and P10,000.00 as attorney's fees, both with legal interest at the rate of six percent (6%) per annum from the date of finality of this Resolution until fully paid.SO ORDERED. Caguioa, (Chairperson), Gaerlan, Dimaampao, and Singh, JJ., concur."," Caguioa, (Chairperson), Gaerlan, Dimaampao, and Singh, JJ., concur.",,,C,,,,P,,C,,,C,,,C
G.R. No. 223042,"CANDY A.K.A. BABY/JILLIAN MURING FERRER, PETITIONER, VS. PEOPLE OF THE PHILIPPINES, RESPONDENT.  [G.R. No. 223769]  DHAYME JAMUAD (A.K.A. - NIKKI MURING FERRER) AND CANDY A.K.A. BABY/JILLIAN MURING FERRER, PETITIONERS, VS. COURT OF APPEALS AND PEOPLE OF THE PHILIPPINES, RESPONDENTS.",7/6/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68595,SECOND DIVISION,LAZARO-JAVIER,"ACCORDINGLY, the Petitions in G.R. Nos. 223042 and 223769 are DENIED. The Decision dated July 22, 2015, and Resolution dated February 11, 2016, of the Court of Appeals in CA-G.R. CEB-C.R.-H.C. No. 01570 are AFFIRMED with MODIFICATION.Petitioners Dhayme Jamuad a.k.a. Nikki Muring Ferrer and Candy a.k.a. Baby/Jillian Muring Ferrer are found GUILTY of QUALIFIED TRAFFICKING IN PERSONS under Section 4(a), in relation to Section 6(a) and (c) of Republic Act No. 9208. They are each sentenced to life imprisonment and ordered to pay a fine of P2,000,000.00.Petitioners are further ORDERED to jointly and severally pay each of the victims AAA223042, BBB223042, CCC223042, DDD223042, EEE223042, FFF223042, and GGG223042 the amounts of P500,000.00 as moral damages and P100,000.00 as exemplary damages. These amounts shall earn six percent (6%) legal interest per annum from the finality of this Decision until fully paid.SO ORDERED. Leonen, SAJ. (Chairperson), M. Lopez, Dimaampao,* and Kho, Jr., JJ., concur.* Additional Member per Raffle dated June 22, 2022."," Leonen, SAJ. (Chairperson), M. Lopez, Dimaampao,* and Kho, Jr., JJ., concur.* Additional Member per Raffle dated June 22, 2022.",,C,,,P,C,,,,,,C,,C,
G.R. No. 238468,"PERLITA MABALO, PETITIONER, VS. HEIRS OF ROMAN BABUYO, REPRESENTED BY VIRGILIO L. BABUYO,RESPONDENTS.",7/6/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68602,SECOND DIVISION,"LOPEZ, J.","ACCORDINGLY, the Petition is DENIED. The Decision dated March 15, 2018 of the Court of Appeals in CA-G.R. SP No. 07450-MIN, is AFFIRMED with MODIFICATION. Petitioner Perlita Mabalo and all persons claiming rights under her are ordered to immediately VACATE the portion of land owned by the Heirs of Roman Babuyo, which she bought from Segundina Babuyo Fernandez covered by Original Certificate of Title No. P-10402, Free Patent No. 575915 and to remove the improvements she introduced thereon. Meanwhile, the award of rent and attorney's fees are hereby DELETED.SO ORDERED. ""Leonen, SAJ. (Chairperson), Lazaro-Javier, M. Lopez, and Kho, Jr., JJ., concur."," ""Leonen, SAJ. (Chairperson), Lazaro-Javier, M. Lopez, and Kho, Jr., JJ., concur.",,C,,,C,C,,,,,P,,,C,
G.R. No. 252353,"PEOPLE OF THE PHILIPPINES, PLAINTIFF-APPELLEE, VS. JERRIE ARRAZ Y RODRIGUEZ, ACCUSED-APPELLANT.",7/6/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68666,SECOND DIVISION,"LOPEZ, M., J.:","ACCORDINGLY, the appeal is DISMISSED. The Court of Appeals' Decision dated June 18, 2019 in CA-G.R. CR-HC No. 09413 is AFFIRMED with MODIFICATIONS, to wit:(1) In R-QZN-15-00619-CR, the accused-appellant Jerrie Arraz y Rodriguez is found GUILTY of Qualified Trafficking in Persons in violation of Section 4 (a), (e), in relation to Section 3 (a), (c), (h), Section 6 (h) and Section 10 (e) of Republic Act No. 9208, as amended by Republic Act No. 10364 (Expanded Anti-Trafficking Act of 2012). The accused-appellant is sentenced to suffer the penalty of life imprisonment and to pay a fine of P4,000,000.00. Accused-appellant is further ordered to pay AAA252353 P500,000.00 as moral damages, and P100,000.00 as exemplary damages;(2) In R-QZN-15-00620-CR, the accused-appellant Jerrie Arraz y Rodriguez is found GUILTY of Qualified Trafficking in Persons in violation of Section 4 (a), (e), in relation to Section 3 (a), (h), (1), Section 6 (h), and Section 10 (e) of Republic Act No. 9208, as amended by Republic Act No. 10364. Accused-appellant is sentenced to suffer the penalty of life imprisonment and to pay a fine of P4,000,000.00. Accused-appellant is further ordered to pay AAA252353 P500,000.00 as moral damages and P100,000.00 as exemplary damages; (3) In R-QZN-15-00621-CR and R-QZN-15-00622-CR, the accused-appellant Jerrie Arraz y Rodriguez is found GUILTY of two counts of Rape through Sexual Intercourse in violation of Article 266-A (1) (a), in relation to Article 266-B of the Revised Penal Code, as amended by Republic Act No. 8353. Accused-appellant is sentenced to suffer the penalty of reclusion perpetua for each count and is ordered to pay AAA252353 P75,000.00 as civil indemnity, P75,000.00 as moral damages, and P75,000.00 as exemplary damages for each count;(4) In R-QZN-15-00623-CR, the accused-appellant Jerrie Arraz y Rodriguez is found GUILTY of Rape through Sexual Assault in violation of Article 266-A (2), in relation to Article 266-B of the Revised Penal Code, as amended by Republic Act No. 8353. Accused-appellant is sentenced to suffer an indeterminate penalty of four (4) years of prision correccional, as minimum, to nine (9) years of prision mayor, as maximum. Accused-appellant is further ordered to pay AAA252353 P30,000.00 as civil indemnity, P30,000.00 as moral damages, and P30,000.00 as exemplary damages; and(5) In R-QZN-15-03829-CR, the accused-appellant Jerrie Arraz y Rodriguez is found GUILTY of violation of Section 4 (c) (1) of Republic Act No. 10175 or the ""Cybercrime Prevention Act of 2012."" Accused-appellant is sentenced to suffer an indeterminate penalty of four (4) years of prision correccional, as minimum, to nine (9) years of prision mayor, as maximum. Accused-appellant is further ordered to pay AAA252353 P30,000.00 as civil indemnity, P30,000.00 as moral damages, and P30,000.00 as exemplary damages;(6) All monetary awards for damages shall earn interest at the legal rate of 6% per annum from the date of finality of this Decision until fully paid.SO ORDERED. Leonen, SAJ. (Chairperson), Lazaro-Javier, J. Lopez, and Kho, Jr., JJ., concur."," Leonen, SAJ. (Chairperson), Lazaro-Javier, J. Lopez, and Kho, Jr., JJ., concur.",,C,,,C,P,,,,,C,,,C,
G.R. No. 255864,"UNIVERSAL ROBINA CORPORATION, PETITIONER, VS. ROBERTO DE GUZMAN MAGLALANG, RESPONDENT.",7/6/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68890,SECOND DIVISION,"LOPEZ, M., J.:","ACCORDINGLY, the petition is PARTLY GRANTED. The Court of Appeals' Decision dated September 15, 2020 and Resolution dated February 8, 2021 in CA-G.R. SP No. 155421 are AFFIRMED with MODIFICATION in that the award of backwages and attorney's fees are DELETED. This case is REMANDED to the Labor Arbiter for the computation of separation pay due to Roberto De Guzman Maglalang from the date of his employment on November 17, 1997, up to the date of his illegal dismissal, subject to legal interest at the rate of six (6%) per annum from the date of finality of this Decision until full payment. SO ORDERED. Leonen, SAJ. (Chairperson), Lazaro-Javier, J. Lopez, and Kho, Jr., JJ., concur. "," Leonen, SAJ. (Chairperson), Lazaro-Javier, J. Lopez, and Kho, Jr., JJ., concur. ",,C,,,C,P,,,,,C,,,C,
